date,total_flights,delay_flights,cancel_flights,divert_flights,pct_delay,pct_cancel,pct_divert,temps_monthly,vis,wind
2010/1/1,8912,1989,279,9,22.31822262,3.130610413,0.100987433,36.12903226,5.774193548,7.193548387
2010/2/1,8418,1918,785,23,22.78450938,9.325255405,0.273224044,37.71428571,5.857142857,5.214285714
2010/3/1,9637,2720,242,32,28.22455121,2.511154924,0.332053544,42.22580645,5.806451613,4.903225806
2010/4/1,9363,1312,58,7,14.0126028,0.619459575,0.074762362,51.26666667,6,4.7
2010/5/1,9360,1569,102,8,16.76282051,1.08974359,0.085470085,56.87096774,6,4.129032258
2010/6/1,9502,1955,157,5,20.57461587,1.65228373,0.052620501,63.56666667,6,4.3
2010/7/1,9992,2256,222,10,22.57806245,2.221777422,0.100080064,67.58064516,6,4.741935484
2010/8/1,10173,2108,138,20,20.72151774,1.356531996,0.19659884,70.4516129,6,4.935483871
2010/9/1,9417,1708,144,6,18.13741107,1.529149411,0.063714559,60.6,5.933333333,4.566666667
2010/10/1,9762,1897,131,9,19.43249334,1.341938127,0.092194222,51.38709677,6,4.483870968
2010/11/1,9558,1785,99,2,18.67545512,1.035781544,0.02092488,48.4,5.833333333,5.966666667
2010/12/1,9429,2483,678,6,26.3336515,7.190582246,0.063633471,37.64516129,5.967741935,5.870967742
2011/1/1,9000,1965,904,11,21.83333333,10.04444444,0.122222222,34.58064516,5.612903226,4.580645161
2011/2/1,8355,1511,654,7,18.08497905,7.827648115,0.083782166,37.71428571,6,6
2011/3/1,9501,2139,153,16,22.51341964,1.610356805,0.168403326,41.64516129,6,5.580645161
2011/4/1,9351,2568,207,10,27.4623035,2.213666987,0.106940434,48.96666667,6,5.233333333
2011/5/1,9542,3391,198,13,35.53762314,2.07503668,0.136239782,55.93548387,6,4.709677419
2011/6/1,9552,2649,226,15,27.73241206,2.36599665,0.157035176,63.36666667,6,4.5
2011/7/1,9896,2336,208,8,23.60549717,2.101859337,0.080840744,67,6,3.935483871
2011/8/1,9909,2653,698,17,26.77364013,7.044101322,0.171561207,69.09677419,6,4.64516129
2011/9/1,8845,2079,135,8,23.50480497,1.526286037,0.09044658,65.5,5.966666667,4.733333333
2011/10/1,9100,1827,99,1,20.07692308,1.087912088,0.010989011,49.09677419,6,5.387096774
2011/11/1,8496,1151,79,5,13.54755179,0.929849341,0.058851224,40.3,5.7,4.2
2011/12/1,8146,889,72,2,10.9133317,0.883869384,0.024551927,37,5.612903226,5.64516129
2012/1/1,8228,1254,107,12,15.24064171,1.30043753,0.145843461,29.5483871,5.709677419,5.548387097
2012/2/1,8016,857,62,5,10.69111776,0.773453094,0.06237525,29.75862069,5.655172414,6.034482759
2012/3/1,8869,1606,72,4,18.10801669,0.811816439,0.045100913,42.4516129,5.903225806,5.290322581
2012/4/1,8793,1142,39,1,12.98760378,0.44353463,0.011372683,49.26666667,6.366666667,5.6
2012/5/1,8987,1686,54,4,18.76043173,0.60086792,0.044508735,56.93548387,6.387096774,4.032258065
2012/6/1,8751,1970,118,12,22.51171295,1.348417324,0.137127185,68.5,7.5,4.1
2012/7/1,8960,2121,89,10,23.671875,0.993303571,0.111607143,73.48387097,7.290322581,4.709677419
2012/8/1,9140,1923,98,6,21.03938731,1.072210066,0.065645514,70.22580645,7.774193548,4.548387097
2012/9/1,8293,1490,69,6,17.96696009,0.832027011,0.072350175,63.5,7.8,4.333333333
2012/10/1,8809,1358,624,7,15.41605177,7.083664434,0.079464184,56.03225806,7.64516129,4.774193548
2012/11/1,8345,1240,90,2,14.85919712,1.078490114,0.023966447,50.16666667,7.4,4.633333333
2012/12/1,8024,1470,101,10,18.32003988,1.258723829,0.124626122,35,6.677419355,5.483870968
2013/1/1,8168,1134,81,13,13.8834476,0.991674829,0.159157689,37.16129032,6.806451613,5.677419355
2013/2/1,7714,1413,479,20,18.31734509,6.20948924,0.259268862,40.17857143,6.821428571,4.821428571
2013/3/1,9195,2089,218,12,22.71886895,2.370853725,0.13050571,44.64516129,7,6
2013/4/1,9318,1809,92,6,19.41403735,0.987336338,0.0643915,53.86666667,7.566666667,4.933333333
2013/5/1,9580,2009,58,9,20.97077244,0.605427975,0.09394572,60.77419355,6.935483871,5.193548387
2013/6/1,9750,2748,118,17,28.18461538,1.21025641,0.174358974,65.33333333,6.833333333,4.8
2013/7/1,10291,3045,150,20,29.58896123,1.457584297,0.194344573,70.09677419,6.483870968,5.193548387
2013/8/1,10392,2278,55,9,21.92070824,0.529253272,0.086605081,71.35483871,6.451612903,4.741935484
2013/9/1,9290,1434,73,9,15.43595264,0.785791173,0.096878364,61.7,7.6,4.7
2013/10/1,9702,1148,31,6,11.83261183,0.319521748,0.061842919,54.48387097,9.032258065,3.516129032
2013/11/1,9075,1044,55,9,11.50413223,0.606060606,0.099173554,48.36666667,8.2,4.866666667
2013/12/1,8890,2249,223,18,25.29808774,2.508436445,0.202474691,36.48387097,8.967741935,4.451612903
2014/1/1,8283,1825,707,36,22.0330798,8.535554751,0.434625136,39.61290323,6.032258065,3.870967742
2014/2/1,7755,1571,593,13,20.25789813,7.646679562,0.167633785,42.53571429,8.571428571,3.714285714
2014/3/1,9322,1597,191,3,17.13151684,2.048916542,0.032181935,45.61290323,8.580645161,5.161290323
2014/4/1,9374,1544,65,5,16.47109025,0.693407297,0.053339023,50.66666667,7.766666667,4.2
2014/5/1,9534,1899,141,7,19.91818754,1.478917558,0.073421439,57.09677419,7.741935484,4.064516129
2014/6/1,9662,2279,141,6,23.58724902,1.459325191,0.062098944,65.13333333,7.766666667,4.2
2014/7/1,10098,2652,181,13,26.26262626,1.792434145,0.128738364,68.4516129,8.032258065,4.322580645
2014/8/1,9932,1984,65,7,19.97583568,0.654450262,0.070479259,71.67741935,8.548387097,4.193548387
2014/9/1,9105,1288,69,9,14.14607359,0.757825371,0.098846787,62.83333333,7.766666667,4.266666667
2014/10/1,9673,2163,82,9,22.36121162,0.847720459,0.093042489,55.06451613,8.225806452,4.64516129
2014/11/1,9020,1602,51,3,17.76053215,0.5654102,0.033259424,47.93333333,8.2,3.666666667
2014/12/1,8872,1912,44,10,21.5509468,0.49594229,0.112714157,39.93548387,8.225806452,4.129032258
2015/1/1,8841,1970,658,10,22.28254722,7.442596991,0.113109377,35.16129032,8.548387097,4.774193548
2015/2/1,8383,2739,1123,20,32.67326733,13.39615889,0.238578075,37.67857143,8.785714286,4.785714286
2015/3/1,9980,2232,238,28,22.36472946,2.384769539,0.280561122,42.51612903,7.903225806,5.258064516
2015/4/1,10005,1895,68,10,18.94052974,0.67966017,0.099950025,48.93333333,8.6,5
2015/5/1,10243,1878,79,17,18.33447232,0.77125842,0.165967002,60.80645161,8.258064516,4.516129032
2015/6/1,10544,2488,138,7,23.59635812,1.308801214,0.066388467,64.7,7.666666667,4.466666667
2015/7/1,10837,2356,85,4,21.74033404,0.784349912,0.036910584,73.41935484,8.064516129,4.516129032
2015/8/1,10728,2399,97,23,22.36204325,0.904175988,0.214392245,72.70967742,7.870967742,4.258064516
2015/9/1,9724,1622,45,6,16.68037845,0.462772522,0.061703003,66.7,8.1,5.033333333
2015/10/1,10161,1471,57,10,14.47692156,0.560968409,0.09841551,55.32258065,7.806451613,4.290322581
2015/11/1,9463,1370,50,6,14.47743844,0.528373666,0.06340484,48.2,9.333333333,4.066666667
2015/12/1,9103,1826,77,10,20.0593211,0.845874986,0.109853894,38.41935484,8.774193548,3.838709677